symbol,type,entry,exit,pnl,reason,bars
XRP-USD,B,1.3487111330032349,1.342044913172722,-0.692,stop,28
XRP-USD,B,1.3977634906768799,1.39271055996418,-0.5061,stop,0
XRP-USD,C,1.3981575965881348,1.391166808605194,-0.7,stop,1
XRP-USD,B,1.3903888463974,1.4019351800282795,1.1626,target,8
XRP-USD,B,1.405200719833374,1.3985156106948853,-0.666,stop,8
XRP-USD,B,1.3989958763122559,1.3920547473430633,-0.6946,stop,5
XRP-USD,B,1.4450913667678833,1.4660251140594482,2.0281,target,23
XRP-USD,B,1.4539352655410767,1.4466655892133713,-0.7,stop,15
XRP-USD,B,1.4189249277114868,1.4118303030729293,-0.7,stop,8
XRP-USD,B,1.4072850942611694,1.404013927578926,-0.3254,stop,24
XRP-USD,B,1.4052011966705322,1.3983994883298874,-0.6777,stop,8
XRP-USD,B,1.3577611446380615,1.36904776096344,1.1638,timeout,48
XRP-USD,B,1.3651219606399536,1.3646020889282227,-0.0533,timeout,48
XRP-USD,B,1.363040566444397,1.3720520734786987,0.9256,timeout,48
XRP-USD,B,1.3549423217773438,1.348303303718567,-0.686,stop,22
XRP-USD,B,1.3481460809707642,1.3525761365890503,0.46,timeout,48
XRP-USD,B,1.360714077949524,1.3552660197019577,-0.5605,stop,11
XRP-USD,A,1.3470878601074219,1.3403524208068847,-0.7,stop,25
XRP-USD,B,1.3442593812942505,1.354681372642517,1.0854,target,7
XRP-USD,B,1.3599501848220825,1.3737784492969514,1.4235,target,45
XRP-USD,B,1.3792396783828735,1.3930320751667022,1.4,target,13
XRP-USD,B,1.4219213724136353,1.4148985904455185,-0.6915,stop,1
XRP-USD,B,1.385265827178955,1.378576131463051,-0.6761,stop,18
XRP-USD,B,1.3755567073822021,1.3893122744560242,1.4,target,17
XRP-USD,B,1.3957030773162842,1.3887245619297028,-0.7,stop,39
XRP-USD,B,1.375546932220459,1.3738678693771362,-0.1709,timeout,48
XRP-USD,B,1.429732084274292,1.4225834238529205,-0.7,stop,8
XRP-USD,B,1.4304885864257812,1.4237349212169648,-0.661,stop,0
XRP-USD,C,1.4004133939743042,1.3935952961444855,-0.6816,stop,27
XRP-USD,B,1.3989872932434082,1.3919923567771912,-0.7,stop,16
XRP-USD,B,1.3926641941070557,1.3922441005706787,-0.0422,timeout,48
XRP-USD,B,1.3898664712905884,1.3910143375396729,0.1156,timeout,48
XRP-USD,B,1.4136407375335693,1.4076213836669922,-0.5961,timeout,48
XRP-USD,B,1.4150431156158447,1.418486475944519,0.3407,timeout,48
XRP-USD,B,1.4434715509414673,1.457396924495697,1.3506,target,26
XRP-USD,B,1.478594183921814,1.471201213002205,-0.7,stop,2
XRP-USD,B,1.468845248222351,1.4797418117523193,1.0386,target,43
XRP-USD,B,1.5254168510437012,1.537501573562622,1.1091,target,27
XRP-USD,C,1.5064905881881714,1.4990940660238266,-0.6874,stop,2
XRP-USD,B,1.5289185047149658,1.521273912191391,-0.7,stop,24
XRP-USD,B,1.5276654958724976,1.520027168393135,-0.7,stop,34
XRP-USD,B,1.4474449157714844,1.4505325555801392,0.2986,timeout,48
XRP-USD,D,1.453458309173584,1.4500428438186646,-0.329,timeout,48
XRP-USD,B,1.4315712451934814,1.4458869576454163,1.4,target,35
XRP-USD,B,1.4424893856048584,1.4457205533981323,0.3136,timeout,48
XRP-USD,B,1.4450613260269165,1.4413783550262451,-0.3568,timeout,48
XRP-USD,B,1.4412665367126465,1.4409750699996948,-0.0283,timeout,48
XRP-USD,B,1.4148961305618286,1.4078216499090195,-0.7,stop,41
XRP-USD,B,1.3970658779144287,1.3901460230350495,-0.6934,stop,32
XRP-USD,B,1.3799153566360474,1.373015779852867,-0.7,stop,34
XRP-USD,B,1.4459600448608398,1.4387302446365355,-0.7,stop,0
XRP-USD,B,1.4340202808380127,1.432875394821167,-0.1118,timeout,48
XRP-USD,B,1.420560359954834,1.4168899059295654,-0.3617,timeout,48
XRP-USD,B,1.4148836135864258,1.4078091955184937,-0.7,stop,11
XRP-USD,B,1.4204131364822388,1.4133110707998275,-0.7,stop,33
XRP-USD,B,1.3722058534622192,1.3654935652017592,-0.6848,stop,5
XRP-USD,B,1.3596794605255127,1.3657820224761963,0.6284,timeout,48
XRP-USD,B,1.3588610887527466,1.3520667833089828,-0.7,stop,9
XRP-USD,B,1.323767900466919,1.323205590248108,-0.0595,timeout,48
XRP-USD,C,1.3277612924575806,1.3410389053821563,1.4,target,40
XRP-USD,B,1.337134599685669,1.339058756828308,0.2015,timeout,48
